TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
4.4291,1.7595,0.94013,-0.14904,-1.5895,-0.26848,0.14245,-0.11789,3,BALL_FAULT
4.4768,1.0121,0.24243,-0.28688,-1.4623,-0.24834,0.22814,0.15915,3,BALL_FAULT
4.4335,1.3562,0.68468,-0.32518,-1.3001,-0.22645,0.36491,-0.10733,3,BALL_FAULT
4.4668,1.7348,0.39207,-0.40325,-1.1426,-0.20123,0.48638,0.098059,3,BALL_FAULT
4.4444,0.28395,0.20404,-0.44716,-1.0383,-0.187,0.53198,-0.045097,3,BALL_FAULT
4.4529,2.0063,0.4813,-0.41792,-0.86243,-0.16313,0.76768,0.017257,3,BALL_FAULT
4.4561,-0.21429,-0.16047,-0.5005,-0.80817,-0.15324,0.83746,0.069365,3,BALL_FAULT
4.4415,1.8661,0.60763,-0.42907,-0.62242,-0.12623,1.1296,-0.078415,3,BALL_FAULT
4.464,-0.14461,-0.23131,-0.46151,-0.54156,-0.11364,1.1953,0.12028,3,BALL_FAULT
4.4412,0.96398,0.44085,-0.31899,-0.37596,-0.085758,1.366,-0.1121,3,BALL_FAULT
4.4541,0.24537,-0.23651,-0.27954,-0.27728,-0.068797,1.371,0.12296,3,BALL_FAULT
4.4578,-0.084028,0.097339,-0.13792,-0.17759,-0.049204,1.3336,-0.075178,3,BALL_FAULT
4.4264,1.0394,0.097012,-0.020429,-0.05955,-0.032461,1.3488,0.061649,3,BALL_FAULT
4.4951,-0.6495,-0.11532,-0.022908,-0.018434,-0.0096914,1.2549,0.015505,3,BALL_FAULT
4.3621,1.2487,0.44052,-0.014745,0.12391,0.037291,1.3721,-0.029837,3,BALL_FAULT
4.6349,-0.97881,-0.30421,-0.11395,0.1222,0.025021,1.3025,0.090879,3,BALL_FAULT
2.9392,0.99748,0.49208,-0.016126,0.22638,0.045262,1.4573,-0.086325,3,BALL_FAULT
-0.38785,-0.63356,-0.35502,-0.039004,0.23227,0.047906,1.4126,0.14413,3,BALL_FAULT
