TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
-0.45027,-1.5763,-0.43842,0.16499,-0.033244,-0.04878,0.37208,0.15036,4,CAGE_FAULT
-0.31938,1.1378,0.40569,0.26956,0.0071401,-0.04828,0.41274,-0.08596,4,CAGE_FAULT
-0.4379,-1.3641,-0.53295,0.19822,-0.021318,-0.050282,0.39639,0.23992,4,CAGE_FAULT
-0.2809,0.4508,0.37446,0.22078,-0.00074663,-0.05172,0.42992,-0.1433,4,CAGE_FAULT
-0.39114,-0.56235,-0.3584,0.13204,-0.021523,-0.054344,0.42253,0.23676,4,CAGE_FAULT
-0.53501,-0.5984,0.1147,0.1234,-0.033006,-0.055268,0.42892,-0.087444,4,CAGE_FAULT
-0.2153,0.28951,-0.010347,0.078207,-0.02485,-0.05609,0.43863,0.13938,4,CAGE_FAULT
-0.49895,-1.597,-0.23453,-0.0032543,-0.070423,-0.058599,0.40802,0.055322,4,CAGE_FAULT
-0.26373,0.78579,0.41936,0.011287,-0.037605,-0.050314,0.44177,-0.0026756,4,CAGE_FAULT
-0.43539,-1.9824,-0.29136,-0.06555,-0.10024,-0.048357,0.3867,0.16927,4,CAGE_FAULT
-0.44247,0.52871,0.52324,0.0077417,-0.06043,-0.047779,0.4209,-0.11524,4,CAGE_FAULT
-0.20848,-1.6345,-0.44251,-0.073604,-0.11522,-0.046829,0.37578,0.25696,4,CAGE_FAULT
-0.44727,-0.21753,0.43001,-0.01303,-0.093672,-0.048594,0.39505,-0.13371,4,CAGE_FAULT
-0.35353,-0.68682,-0.30336,-0.08767,-0.095002,-0.049499,0.40064,0.2086,4,CAGE_FAULT
-0.43351,-1.3385,0.041733,-0.11583,-0.11187,-0.04905,0.3782,-0.030469,4,CAGE_FAULT
-0.37993,0.13887,0.11111,-0.10688,-0.089209,-0.04536,0.39781,0.082702,4,CAGE_FAULT
-0.36598,-2.1571,-0.41519,-0.13751,-0.13499,-0.046239,0.36361,0.11687,4,CAGE_FAULT
-0.34265,0.44033,0.46327,-0.065666,-0.095715,-0.046355,0.40244,-0.064396,4,CAGE_FAULT
-0.44161,-2.2718,-0.57213,-0.1576,-0.15024,-0.048832,0.34887,0.23618,4,CAGE_FAULT
-0.38544,0.079624,0.56317,-0.094459,-0.11778,-0.050539,0.38119,-0.13605,4,CAGE_FAULT
-0.40868,-1.77,-0.42831,-0.15401,-0.14711,-0.05188,0.35172,0.27283,4,CAGE_FAULT
-0.33052,-0.93704,0.31739,-0.085467,-0.13752,-0.054916,0.37266,-0.097228,4,CAGE_FAULT
-0.37277,-0.66496,-0.25441,-0.095532,-0.14068,-0.053946,0.36366,0.18027,4,CAGE_FAULT
-0.51893,-1.8792,-0.21144,-0.099893,-0.16618,-0.051354,0.34603,0.020762,4,CAGE_FAULT
-0.30443,0.076522,0.079834,-0.085544,-0.13482,-0.04982,0.39179,0.036849,4,CAGE_FAULT
-0.38082,-2.4854,-0.67165,-0.19816,-0.18244,-0.050122,0.34945,0.18066,4,CAGE_FAULT
-0.46844,0.26356,0.38689,-0.18957,-0.14178,-0.047356,0.40925,-0.11538,4,CAGE_FAULT
-0.26995,-2.2862,-0.76928,-0.2853,-0.18912,-0.047709,0.35899,0.26738,4,CAGE_FAULT
-0.54011,-0.27666,0.3775,-0.19434,-0.16314,-0.037473,0.39592,-0.1434,4,CAGE_FAULT
-0.31628,-1.4976,-0.61998,-0.20819,-0.18061,-0.033436,0.36804,0.23898,4,CAGE_FAULT
-0.44871,-1.3763,-0.0050597,-0.11447,-0.18501,-0.037665,0.36954,-0.066149,4,CAGE_FAULT
-0.30959,-0.58033,-0.18859,-0.092777,-0.16497,-0.038467,0.3805,0.12386,4,CAGE_FAULT
-0.55355,-2.1109,-0.37507,-0.1132,-0.19929,-0.040637,0.35574,0.044077,4,CAGE_FAULT
-0.42926,0.35286,0.26442,-0.062538,-0.14989,-0.042312,0.39657,-0.010537,4,CAGE_FAULT
-0.31596,-2.2835,-0.42461,-0.14306,-0.20189,-0.04269,0.35815,0.16319,4,CAGE_FAULT
-0.492,0.26708,0.48715,-0.085275,-0.14873,-0.043852,0.4148,-0.12115,4,CAGE_FAULT
-0.4295,-1.8813,-0.34042,-0.22323,-0.20326,-0.046412,0.36242,0.26214,4,CAGE_FAULT
-0.49689,-0.37017,0.37029,-0.19462,-0.1769,-0.042087,0.39506,-0.13429,4,CAGE_FAULT
-0.41493,-0.91735,-0.23092,-0.28203,-0.19943,-0.038673,0.37502,0.20454,4,CAGE_FAULT
-0.5388,-1.2193,0.030761,-0.23628,-0.22597,-0.037697,0.35533,-0.059018,4,CAGE_FAULT
-0.48394,0.17051,0.020591,-0.13867,-0.18979,-0.035965,0.38538,0.085257,4,CAGE_FAULT
-0.361,-1.8967,-0.26775,-0.096181,-0.24583,-0.042812,0.32756,0.076325,4,CAGE_FAULT
-0.52332,0.74182,0.28248,0.049349,-0.17187,-0.043672,0.40369,-0.044804,4,CAGE_FAULT
-0.43072,-1.814,-0.46146,-0.0363,-0.23897,-0.044538,0.33875,0.20602,4,CAGE_FAULT
-0.46854,0.5976,0.29629,-0.0028176,-0.17394,-0.043621,0.4022,-0.13588,4,CAGE_FAULT
-0.43271,-1.0419,-0.47032,-0.19535,-0.21682,-0.043082,0.35854,0.25197,4,CAGE_FAULT
-0.43782,-0.05947,0.16402,-0.18225,-0.19308,-0.042202,0.38558,-0.11865,4,CAGE_FAULT
