TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
-0.50601,-0.39659,-0.060724,-0.0030552,0.1756,0.056248,1.0484,0.086133,6,IMBALANCE
-0.50536,1.2413,0.40725,0.051745,0.17475,0.058231,1.069,-0.102,6,IMBALANCE
-0.51379,0.18156,0.026771,0.027678,0.17776,0.05775,1.0414,0.053983,6,IMBALANCE
-0.50101,0.23977,0.3265,0.051051,0.17364,0.055337,1.0356,-0.086349,6,IMBALANCE
-0.5134,1.1029,0.2019,0.057044,0.17089,0.052417,1.0248,0.021078,6,IMBALANCE
-0.5067,-0.16823,0.21449,0.063948,0.16772,0.049131,1.003,-0.029739,6,IMBALANCE
-0.50469,1.5479,0.33238,0.091541,0.16689,0.048977,1.0103,-0.033049,6,IMBALANCE
-0.5148,-0.46898,0.11847,0.078349,0.16195,0.046622,0.93513,0.049505,6,IMBALANCE
-0.50034,1.362,0.38151,0.13347,0.16295,0.048265,0.99457,-0.086666,6,IMBALANCE
-0.51469,0.094953,0.0008697,0.096307,0.16496,0.048798,0.97796,0.049627,6,IMBALANCE
-0.50659,1.0646,0.34053,0.12161,0.16563,0.051288,1.0198,-0.091923,6,IMBALANCE
-0.5048,0.71258,0.075446,0.080603,0.16773,0.052629,1.0203,0.035876,6,IMBALANCE
-0.51475,0.45687,0.24497,0.078342,0.16715,0.052135,1.0184,-0.065029,6,IMBALANCE
-0.50143,1.3592,0.1894,0.05362,0.1671,0.052282,1.0289,-0.0094658,6,IMBALANCE
-0.51521,0.19175,0.14305,0.014781,0.16489,0.050152,1.0089,-0.020613,6,IMBALANCE
-0.50641,1.6604,0.27313,0.022245,0.16431,0.050505,1.0375,-0.048723,6,IMBALANCE
-0.50844,-0.13644,-0.013437,-0.0035947,0.16024,0.046577,1.0028,0.027722,6,IMBALANCE
-0.5147,1.4847,0.32079,0.050383,0.15844,0.045422,1.0337,-0.08613,6,IMBALANCE
-0.50459,0.17424,0.018015,0.025353,0.15953,0.045884,1.0137,0.046901,6,IMBALANCE
-0.5171,1.0068,0.32913,0.065297,0.16398,0.052956,1.0281,-0.092288,6,IMBALANCE
-0.50604,0.6481,-0.019539,0.043459,0.1632,0.051005,1.0129,0.072869,6,IMBALANCE
-0.50858,0.015019,0.11136,0.061784,0.16611,0.056069,0.99653,-0.039913,6,IMBALANCE
-0.51179,1.4423,0.19658,0.077122,0.15119,0.039877,1.0116,-0.006667,6,IMBALANCE
-0.50559,-0.6604,0.019069,0.054198,0.14209,0.033023,0.9713,0.014239,6,IMBALANCE
-0.50904,1.627,0.3338,0.087598,0.15043,0.040237,1.0088,-0.06537,6,IMBALANCE
-0.51045,-0.87702,-0.13789,0.017607,0.14538,0.03672,0.95782,0.15163,6,IMBALANCE
-0.50302,1.3084,0.42369,0.072183,0.14845,0.040846,0.99705,-0.13561,6,IMBALANCE
-0.52111,-0.31084,-0.13661,-0.00087786,0.14782,0.04014,0.95626,0.20386,6,IMBALANCE
-0.49609,0.55426,0.42137,0.057795,0.14886,0.043439,0.98653,-0.12609,6,IMBALANCE
-0.51835,0.31469,-0.36517,-0.00058241,0.14293,0.0398,0.92142,0.21284,6,IMBALANCE
-0.49382,-1.5529,-0.1788,-0.0058877,0.13711,0.036778,0.86501,0.051914,6,IMBALANCE
-0.51972,1.3988,0.13055,0.035778,0.13658,0.032882,0.96393,-0.0091251,6,IMBALANCE
-0.49524,-1.5521,-0.40601,-0.045658,0.13003,0.029706,0.92322,0.12427,6,IMBALANCE
-0.52315,1.7065,0.4241,0.021609,0.1304,0.027678,1.0002,-0.099492,6,IMBALANCE
-0.47639,-2.0418,-0.73911,-0.11627,0.12418,0.025977,0.85665,0.32255,6,IMBALANCE
-0.54323,0.68562,0.46896,-0.0070631,0.12967,0.028101,0.95891,-0.15084,6,IMBALANCE
