TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
-0.59647,0.41332,-0.053227,0.025694,0.080978,0.03724,0.057586,0.12047,2,MISALIGNMENT
-0.68575,-1.0673,-0.1135,0.00099762,0.072353,0.036033,0.023505,-0.047019,2,MISALIGNMENT
-0.58133,1.1268,0.31031,0.056658,0.079418,0.038504,0.087165,0.012706,2,MISALIGNMENT
-0.64536,-1.5366,-0.3447,-0.03675,0.067382,0.03731,0.019202,0.056076,2,MISALIGNMENT
-0.66566,1.0961,0.50999,0.049034,0.07356,0.037978,0.084236,-0.09129,2,MISALIGNMENT
-0.55575,-1.2858,-0.44441,-0.053218,0.065134,0.037535,0.026927,0.15817,2,MISALIGNMENT
-0.72303,0.56995,0.4697,-0.014058,0.063599,0.03473,0.067706,-0.14123,2,MISALIGNMENT
-0.56177,-0.43374,-0.27582,-0.10812,0.057029,0.031689,0.037209,0.1453,2,MISALIGNMENT
-0.65617,-0.40896,0.23018,-0.096277,0.052264,0.030745,0.034846,-0.1184,2,MISALIGNMENT
-0.66105,0.59473,0.056483,-0.044907,0.055558,0.031977,0.050464,0.10229,2,MISALIGNMENT
-0.56608,-1.1498,-0.10509,-0.032292,0.048353,0.03217,0.0059793,-0.025821,2,MISALIGNMENT
-0.70418,1.1783,0.3306,0.082954,0.051891,0.030957,0.058921,0.0025814,2,MISALIGNMENT
-0.58542,-1.5385,-0.4127,0.0055579,0.042187,0.029795,-0.014481,0.086766,2,MISALIGNMENT
-0.63715,1.0312,0.44364,0.092331,0.045334,0.028435,0.054342,-0.085011,2,MISALIGNMENT
-0.68406,-1.1816,-0.49156,-0.00032549,0.039567,0.029269,0.0076683,0.16109,2,MISALIGNMENT
-0.55947,0.42296,0.36416,0.10274,0.040755,0.027793,0.051112,-0.12987,2,MISALIGNMENT
-0.70437,-0.22896,-0.2738,0.047377,0.039072,0.027466,0.015991,0.16898,2,MISALIGNMENT
-0.60172,-0.43531,0.15111,0.033305,0.033857,0.026516,-0.015772,-0.097691,2,MISALIGNMENT
-0.61937,0.62836,0.035418,-0.0026763,0.038231,0.028242,-0.005747,0.094579,2,MISALIGNMENT
-0.70743,-1.402,-0.16735,-0.11471,0.024461,0.027113,-0.068514,0.010832,2,MISALIGNMENT
-0.54601,1.2007,0.34997,-0.05449,0.036253,0.030803,0.025707,-0.018933,2,MISALIGNMENT
-0.72734,-1.5884,-0.375,-0.12377,0.018951,0.028095,-0.060641,0.13152,2,MISALIGNMENT
-0.61768,1.1111,0.4942,0.051462,0.029387,0.031432,0.016415,-0.12329,2,MISALIGNMENT
-0.61222,-1.0113,-0.32694,-0.019671,0.018276,0.030726,-0.058432,0.2217,2,MISALIGNMENT
-0.72608,0.44813,0.48755,0.069228,0.01879,0.029789,0.00043083,-0.15729,2,MISALIGNMENT
-0.58886,-0.043916,-0.05852,0.032746,0.016363,0.029526,0.0077967,0.20076,2,MISALIGNMENT
-0.72195,-0.54414,0.30196,0.04933,0.0066134,0.02565,0.0067756,-0.088077,2,MISALIGNMENT
-0.59447,0.8991,0.29615,0.066652,0.012496,0.026811,0.057303,0.092193,2,MISALIGNMENT
