TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
-0.72765,0.64448,-0.084422,-0.31486,-0.060899,-0.054569,-0.18197,-0.01852,1,NORMAL
-0.5783,0.51076,0.64207,-0.26053,-0.052479,-0.047035,-0.18477,-0.1176,1,NORMAL
-0.77031,0.37547,-0.19358,-0.082256,-0.056731,-0.049114,-0.382,0.081777,1,NORMAL
-0.62511,0.21026,0.51949,0.12455,-0.04492,-0.044307,-0.38912,-0.18803,1,NORMAL
-0.74069,0.043898,-0.31129,0.093263,-0.051291,-0.046124,-0.36207,0.10899,1,NORMAL
-0.67109,0.45765,0.37217,0.013118,-0.045883,-0.046983,-0.30982,-0.17968,1,NORMAL
-0.72432,0.4539,0.26257,-0.00732,-0.040739,-0.043589,-0.24445,0.03921,1,NORMAL
-0.68891,0.55488,0.31083,0.082132,-0.045016,-0.044327,-0.26398,-0.056779,1,NORMAL
-0.71239,0.59354,0.55371,0.25894,-0.037585,-0.039796,-0.11464,-0.086057,1,NORMAL
-0.69775,0.36709,-0.23692,0.31294,-0.062247,-0.043306,-0.13933,0.026798,1,NORMAL
-0.71052,0.52922,0.62334,0.36898,-0.033963,-0.036087,0.072645,-0.17711,1,NORMAL
-0.69726,0.12154,-0.30328,0.27231,-0.062723,-0.042305,-0.14468,0.21717,1,NORMAL
-0.70975,0.5211,0.77057,0.23085,-0.022088,-0.035079,0.12175,-0.24372,1,NORMAL
-0.69733,-0.31934,-0.34017,0.088856,-0.033321,-0.041144,0.0095499,0.23031,1,NORMAL
-0.70625,0.032435,0.16973,0.18461,-0.0054157,-0.03427,0.077204,-0.13403,1,NORMAL
-0.69936,-0.11781,-0.02394,0.14524,0.0051812,-0.033988,0.13343,0.05408,1,NORMAL
-0.70772,-0.22493,-0.3395,0.067404,-0.0067708,-0.035265,-0.10217,0.064716,1,NORMAL
-0.7048,0.00015165,0.41565,0.1451,0.020845,-0.0335,0.080602,-0.1379,1,NORMAL
-0.70288,-0.35038,-0.6148,0.30409,-0.014426,-0.042267,-0.27574,0.24177,1,NORMAL
-0.70135,0.20846,0.47047,0.53758,0.010769,-0.039873,-0.12703,-0.28237,1,NORMAL
-0.70722,-0.25126,-0.44808,0.5487,-0.012981,-0.043248,-0.27472,0.3383,1,NORMAL
-0.69768,0.54212,0.51497,0.63109,0.011822,-0.039578,-0.14621,-0.27709,1,NORMAL
-0.7119,-0.018267,0.095361,0.66943,0.011655,-0.036947,-0.17625,0.2501,1,NORMAL
-0.69597,0.27813,0.3366,0.6221,0.0096769,-0.036209,-0.10168,-0.081749,1,NORMAL
-0.71359,-0.045515,0.33051,0.49731,0.018129,-0.03085,0.14492,0.020178,1,NORMAL
-0.69733,0.17315,0.071521,0.25154,0.01073,-0.02999,0.12024,0.13323,1,NORMAL
-0.69774,0.24505,0.70064,0.24035,0.022226,-0.025472,0.21893,-0.17336,1,NORMAL
-0.70905,-0.28505,-0.079065,0.13672,0.010717,-0.025331,0.22212,0.28604,1,NORMAL
-0.6965,0.44825,0.67106,0.24752,0.014693,-0.024041,0.4468,-0.26574,1,NORMAL
-0.7129,-0.25369,-0.16865,0.14454,0.0026251,-0.025588,0.43411,0.296,1,NORMAL
-0.69954,0.4308,0.36551,0.26402,0.00042866,-0.027853,0.44104,-0.16401,1,NORMAL
-0.70616,0.60514,0.20008,0.45809,-0.0035918,-0.029611,0.43695,0.059629,1,NORMAL
-0.70734,0.89016,0.21552,0.64141,-0.011389,-0.03221,0.37212,-0.10105,1,NORMAL
-0.70237,0.96757,0.31804,0.70976,-0.0095517,-0.030818,0.396,-0.068217,1,NORMAL
-0.70933,0.53188,-0.14979,0.5979,-0.020643,-0.03488,0.30014,-0.018666,1,NORMAL
-0.70184,0.60595,0.56079,0.5884,-0.022371,-0.035426,0.36825,-0.14829,1,NORMAL
-0.70286,0.73933,-0.11672,0.41678,-0.042544,-0.042915,0.25235,0.061309,1,NORMAL
-0.70667,1.0225,0.69881,0.38754,-0.040045,-0.039462,0.078925,-0.18862,1,NORMAL
-0.70094,0.81876,0.13039,0.26737,-0.046795,-0.04081,-0.18969,0.0644,1,NORMAL
-0.70755,0.6692,0.58799,0.19928,-0.044727,-0.043601,-0.22986,-0.15561,1,NORMAL
-0.70298,0.35014,0.46648,0.03017,-0.050026,-0.045912,-0.14358,0.0088849,1,NORMAL
-0.70507,0.56965,0.43162,0.096724,-0.060398,-0.050924,-0.10167,-0.067463,1,NORMAL
-0.70806,0.56646,0.88522,0.21045,-0.048003,-0.049018,0.13261,-0.079559,1,NORMAL
-0.70077,0.51677,0.21518,0.36478,-0.056686,-0.051938,0.2027,0.014969,1,NORMAL
-0.70891,0.56951,0.84158,0.44412,-0.05045,-0.047856,0.22704,-0.16457,1,NORMAL
-0.70194,0.5259,-0.075955,0.40542,-0.056365,-0.043351,0.068927,0.067588,1,NORMAL
-0.70332,0.67934,0.58948,0.33916,-0.059197,-0.043204,0.1299,-0.19283,1,NORMAL
-0.70707,0.38337,0.064577,0.3049,-0.070725,-0.041182,0.2215,0.049286,1,NORMAL
-0.7004,0.52236,0.34401,0.24167,-0.072632,-0.042947,0.30383,-0.15554,1,NORMAL
-0.70815,0.25113,0.358,0.19647,-0.074392,-0.042928,0.31528,-0.0039898,1,NORMAL
-0.70281,0.37728,0.080097,0.0084289,-0.085785,-0.046547,0.21441,-0.0045739,1,NORMAL
-0.70424,0.52598,0.5161,0.056825,-0.079858,-0.045982,0.37772,-0.12872,1,NORMAL
-0.7076,0.2527,-0.17452,0.067719,-0.098136,-0.050141,0.25442,0.088616,1,NORMAL
-0.70137,0.74131,0.71907,0.22977,-0.070417,-0.045373,0.33286,-0.19794,1,NORMAL
-0.70918,0.22375,0.11059,0.18011,-0.087468,-0.047266,0.2104,0.13805,1,NORMAL
-0.70156,0.55458,0.75317,0.26131,-0.070038,-0.045232,0.24624,-0.19993,1,NORMAL
-0.70583,0.4604,0.29854,0.25491,-0.073577,-0.047375,0.08466,0.087156,1,NORMAL
-0.70601,0.46277,0.38464,0.21788,-0.073146,-0.049011,-0.10508,-0.11577,1,NORMAL
-0.70293,0.19282,0.57751,0.16817,-0.047836,-0.043576,0.044279,-0.017546,1,NORMAL
-0.70589,-0.51015,0.077515,0.11467,-0.067674,-0.045777,-0.1103,0.08937,1,NORMAL
-0.70268,-0.18196,0.70513,0.24621,-0.032512,-0.036221,-0.023959,-0.2087,1,NORMAL
-0.70438,-0.73795,-0.56734,0.17876,-0.060269,-0.040309,-0.35568,0.25762,1,NORMAL
-0.70736,-0.044314,0.40761,0.28125,-0.017438,-0.035227,-0.022251,-0.2737,1,NORMAL
-0.70101,-0.7588,-0.60792,0.19517,-0.03273,-0.035304,-0.046821,0.2563,1,NORMAL
-0.70782,-0.14671,0.14802,0.21263,-0.0089352,-0.027789,0.16298,-0.19538,1,NORMAL
-0.70332,-0.44108,-0.080773,0.15784,0.01213,-0.013638,0.33343,0.10745,1,NORMAL
-0.70289,-0.35714,-0.21181,0.17164,-0.00048332,-0.012258,0.24508,-0.012873,1,NORMAL
-0.7062,-0.2643,0.11955,0.21211,0.026844,-0.0055072,0.45183,-0.087152,1,NORMAL
-0.70017,-0.62745,-0.8003,0.15691,-0.0020632,-0.010218,0.10134,0.19616,1,NORMAL
-0.70693,-0.036223,0.41034,0.20261,0.044756,-0.0045703,0.45259,-0.23958,1,NORMAL
-0.70209,-0.82902,-0.50487,0.11355,0.015425,-0.011938,0.22414,0.28378,1,NORMAL
-0.7034,-0.045207,0.65626,0.1263,0.050877,-0.0085106,0.31773,-0.25837,1,NORMAL
-0.70641,-0.63859,-0.15714,0.077822,0.046541,-0.0090368,0.20294,0.22106,1,NORMAL
-0.70096,-0.087361,0.12183,0.064109,0.062251,-0.010988,0.19684,-0.10801,1,NORMAL
-0.70699,0.065174,0.14732,-0.0034791,0.075442,-0.01145,0.22599,0.028477,1,NORMAL
-0.70225,-0.049356,-0.10851,-0.13081,0.065237,-0.016757,0.040137,0.032249,1,NORMAL
-0.70352,0.19646,0.36128,-0.002657,0.10405,-0.0089534,0.21317,-0.1395,1,NORMAL
-0.70604,-0.14913,-0.30667,0.01191,0.087433,-0.011905,0.035237,0.12795,1,NORMAL
-0.70155,0.37267,0.42462,0.0079922,0.10582,-0.0084849,0.12481,-0.2168,1,NORMAL
-0.70539,-0.15358,-0.27575,-0.047527,0.1046,-0.0063543,0.030511,0.18414,1,NORMAL
-0.70386,0.0025663,0.26259,0.11777,0.11536,-0.00084811,0.15758,-0.23213,1,NORMAL
-0.70209,-0.84009,-0.27485,0.22338,0.11782,0.0022002,0.0579,0.17733,1,NORMAL
-0.70698,-0.61662,-0.064964,0.29182,0.12348,0.0070775,0.0086444,-0.062766,1,NORMAL
-0.70026,-0.42663,0.20116,0.27938,0.1357,0.011544,0.19971,-0.046605,1,NORMAL
-0.70625,-0.20933,-0.025218,0.15586,0.12877,0.0097408,0.25919,0.08864,1,NORMAL
-0.7035,0.22372,0.52104,0.2342,0.12929,0.013482,0.46808,-0.15856,1,NORMAL
-0.70202,0.34076,-0.27473,0.18626,0.13814,0.033633,0.44861,0.090052,1,NORMAL
-0.70679,0.16768,0.46755,0.20576,0.13788,0.035623,0.43171,-0.23133,1,NORMAL
-0.69987,-0.16864,-0.12359,-0.059301,0.12787,0.033396,0.41021,0.19534,1,NORMAL
-0.70639,0.55192,0.51284,-0.11695,0.12681,0.029276,0.42973,-0.15975,1,NORMAL
-0.70254,0.11909,0.4134,-0.23639,0.12881,0.027646,0.53663,0.094189,1,NORMAL
-0.7014,0.09968,0.40382,-0.186,0.1315,0.027325,0.67401,-0.031273,1,NORMAL
-0.70682,0.094305,0.52565,-0.032742,0.1374,0.030168,0.66754,-0.066076,1,NORMAL
-0.69883,-0.2976,-0.17424,0.10576,0.13119,0.02934,0.44778,0.13822,1,NORMAL
-0.70669,0.18517,0.42674,0.30346,0.13971,0.03251,0.54062,-0.18745,1,NORMAL
-0.70136,-0.34928,-0.46749,0.36376,0.1283,0.029513,0.39949,0.22437,1,NORMAL
-0.70223,0.23763,0.34157,0.5277,0.12878,0.029372,0.41184,-0.23449,1,NORMAL
-0.70569,-0.40876,-0.47626,0.49686,0.11452,0.027825,0.36614,0.23778,1,NORMAL
-0.69874,-0.011845,0.089727,0.44339,0.11087,0.027338,0.39612,-0.14447,1,NORMAL
-0.70604,-0.34838,-0.01237,0.18508,0.10569,0.026997,0.43351,0.082045,1,NORMAL
-0.7019,-0.56238,-0.22254,-0.021219,0.092956,0.022037,0.26657,0.062039,1,NORMAL
-0.70162,-0.17855,0.41683,-0.18843,0.10222,0.02504,0.39569,-0.11711,1,NORMAL
-0.70579,-0.77493,-0.41826,-0.24134,0.085313,0.019835,0.45371,0.23133,1,NORMAL
-0.69918,-0.11059,0.52526,-0.13232,0.09408,0.021472,0.68103,-0.24145,1,NORMAL
-0.70578,-0.55326,-0.30891,-0.0046545,0.080073,0.017641,0.66394,0.32214,1,NORMAL
-0.70243,-0.15319,0.54217,0.24628,0.081685,0.017063,0.81266,-0.21867,1,NORMAL
-0.70119,-1.0626,0.0050903,0.3071,0.069816,0.016633,0.88516,0.21953,1,NORMAL
-0.70578,-0.63419,0.34791,0.19094,0.061191,0.014323,0.9721,-0.062863,1,NORMAL
-0.70019,-0.26946,0.36681,0.015783,0.042566,-0.0055265,1.0929,0.03242,1,NORMAL
-0.70354,-0.34316,0.023161,-0.20193,0.036818,-0.0043007,1.0868,0.14593,1,NORMAL
-0.70479,-0.37611,0.57445,-0.23247,0.040556,0.00084611,1.184,-0.15605,1,NORMAL
-0.69744,-1.0998,-0.048011,-0.37971,0.024391,-0.0024846,0.89931,0.42404,1,NORMAL
-0.7103,-0.40704,0.66804,-0.26118,0.023305,-0.0036205,0.60982,-0.27195,1,NORMAL
-0.69451,-1.3285,0.15648,-0.24341,0.008675,-0.0076827,0.39204,0.41182,1,NORMAL
-0.70952,-0.35333,0.64811,-0.095012,0.0043142,-0.010917,0.36249,-0.19292,1,NORMAL
-0.69713,-0.5535,0.27758,-0.046583,-0.00074663,-0.0082154,0.23841,0.24082,1,NORMAL
-0.7052,-0.58288,0.33071,-0.015239,-0.0036752,-0.010038,0.094954,0.066736,1,NORMAL
-0.69952,-0.25224,0.58242,-0.0019184,0.0011094,-0.0074774,0.18955,-0.037089,1,NORMAL
-0.70603,-1.1235,0.286,-0.034457,-0.0093655,-0.0096208,0.31709,0.23279,1,NORMAL
-0.6935,-0.41953,0.95069,-0.11233,0.0022334,-0.0070089,0.57559,-0.22843,1,NORMAL
-0.71407,-0.47813,0.17379,-0.32939,-0.015062,-0.011155,0.54328,0.24786,1,NORMAL
-0.68364,-0.13813,0.85988,-0.42634,-0.012423,-0.008671,0.80285,-0.25764,1,NORMAL
-0.72465,-0.93533,0.035643,-0.59501,-0.033867,-0.011379,1.0587,0.25131,1,NORMAL
-0.67425,-0.48782,0.53563,-0.51518,-0.044637,-0.014087,1.1779,-0.16253,1,NORMAL
-0.7345,-0.58404,0.28993,-0.41455,-0.048112,-0.013548,1.1817,0.077226,1,NORMAL
