TACH,A1,X1,Y1,A2,X2,Y2,MICRO,STA,STATUS
-0.34277,0.98575,-0.20526,0.13558,0.15572,0.055575,-0.12926,0.082629,5,OUTER_RACE
-0.54789,0.83344,0.25471,0.17334,0.15317,0.069443,-0.13639,-0.0909,5,OUTER_RACE
-0.35625,1.8205,0.13859,0.18821,0.15915,0.089735,-0.12331,0.031982,5,OUTER_RACE
-0.28419,-0.02431,0.020559,0.18336,0.12143,0.049375,-0.16312,-0.047822,5,OUTER_RACE
-0.42492,2.2285,0.39837,0.21981,0.15518,0.096236,-0.14968,-0.017862,5,OUTER_RACE
-0.23445,0.029975,-0.14524,0.15558,0.10965,0.038748,-0.19867,0.015675,5,OUTER_RACE
-0.4966,2.1666,0.51834,0.19884,0.15318,0.095023,-0.14569,-0.077685,5,OUTER_RACE
-0.39862,0.31305,-0.22019,0.1389,0.11197,0.044883,-0.16233,0.068537,5,OUTER_RACE
-0.18994,1.3467,0.46952,0.20993,0.13827,0.077003,-0.10697,-0.11709,5,OUTER_RACE
-0.54429,0.94225,-0.12578,0.17719,0.1289,0.052873,-0.082039,0.11271,5,OUTER_RACE
-0.36128,0.074807,0.12294,0.21229,0.12366,0.031624,-0.040117,-0.058507,5,OUTER_RACE
-0.24782,1.7867,0.14021,0.22387,0.14015,0.057249,0.028398,0.031568,5,OUTER_RACE
-0.55243,-0.45928,-0.11999,0.1493,0.092295,0.015266,0.039662,0.01273,5,OUTER_RACE
-0.2895,2.1721,0.38234,0.16801,0.10531,0.066985,0.094871,-0.047263,5,OUTER_RACE
-0.35235,-0.62804,-0.44814,0.0459,0.030633,0.0035928,0.057419,0.12836,5,OUTER_RACE
-0.43856,1.6947,0.41783,0.092736,0.055867,0.064078,0.10475,-0.113,5,OUTER_RACE
-0.29868,0.15025,-0.38285,-0.015644,0.013839,0.014156,0.091975,0.13732,5,OUTER_RACE
-0.48587,0.81311,0.27893,0.016792,0.02256,0.04632,0.12632,-0.1066,5,OUTER_RACE
-0.26409,1.163,-0.15233,-0.037186,0.0031839,0.046879,0.11341,0.084868,5,OUTER_RACE
-0.27668,-0.25305,0.011013,-0.015548,-0.015197,0.037971,0.077885,-0.054783,5,OUTER_RACE
-0.55493,1.9557,0.16128,0.077,0.033042,0.089838,0.079375,0.033491,5,OUTER_RACE
-0.20917,-0.84109,-0.32195,0.065753,-0.00047047,0.039576,0.0090683,0.077445,5,OUTER_RACE
-0.51386,2.1142,0.34053,0.15698,0.054235,0.11642,0.026773,-0.072039,5,OUTER_RACE
-0.17302,-0.59629,-0.50225,-0.012587,-0.00063745,0.06642,-0.056884,0.16718,5,OUTER_RACE
-0.43343,1.478,0.42212,-0.0065429,0.043093,0.15098,-0.052004,-0.12351,5,OUTER_RACE
-0.42946,0.37819,-0.31335,-0.1084,0.010602,0.12039,-0.12336,0.1553,5,OUTER_RACE
-0.39805,0.39177,0.23844,-0.029357,0.020486,0.14969,-0.15304,-0.089026,5,OUTER_RACE
-0.28626,1.3177,0.0011524,-0.0079816,0.027409,0.17647,-0.1785,0.090587,5,OUTER_RACE
-0.44912,-0.54936,-0.019636,-0.01249,-0.0080104,0.15737,-0.23557,-0.0075675,5,OUTER_RACE
-0.35817,1.9676,0.31224,0.054796,0.025804,0.22482,-0.22245,-0.019201,5,OUTER_RACE
-0.40772,-1.0952,-0.25785,0.016894,-0.025415,0.16409,-0.27308,0.08443,5,OUTER_RACE
-0.3192,1.5658,0.53069,0.15208,0.031513,0.24758,-0.21211,-0.083307,5,OUTER_RACE
-0.41376,-0.33851,-0.36172,0.11651,-0.010669,0.18362,-0.22303,0.095065,5,OUTER_RACE
-0.34247,1.0214,0.48744,0.22691,0.024365,0.22712,-0.15175,-0.10611,5,OUTER_RACE
-0.40649,0.49777,-0.24491,0.16293,0.0012957,0.20159,-0.13041,0.094262,5,OUTER_RACE
-0.33443,0.035839,0.2122,0.13907,-0.0037652,0.21607,-0.089758,-0.10657,5,OUTER_RACE
-0.30285,1.1679,0.003086,0.084238,0.0015205,0.24067,-0.046629,0.11242,5,OUTER_RACE
-0.40608,-1.0497,-0.25914,0.01622,-0.045646,0.20873,-0.043424,0.045002,5,OUTER_RACE
-0.21479,1.7955,0.29181,0.060589,-0.012808,0.26806,0.0495,-0.039767,5,OUTER_RACE
-0.43008,-0.92225,-0.495,-0.071992,-0.086299,0.18468,0.042346,0.063353,5,OUTER_RACE
